,,Mean,SD,Mean_end,SD_end
24,42,0.8876330768535159,0.0547705477297628,0.9051853657906934,0.0026400519411856767
24,48,0.8865590126867592,0.07183128684640509,0.9053163772233227,0.0026314052279786805
24,52,0.8864112354234853,0.07309367546108043,0.9053008500870349,0.0026286446185116302
24,53,0.886375198594478,0.0725411676972321,0.9052690552362344,0.0026278510040865645
24,54,0.8864645850988447,0.07178581139015666,0.9052960837064857,0.0026335343289562697
24,57,0.8877558768339655,0.054298615622412276,0.9050621663839762,0.0026356145305112435
24,59,0.8865560792494634,0.06761893326517159,0.9052324935848883,0.0026390155234773706
24,60,0.886413399586697,0.06875471806542698,0.9052112863594094,0.00263511778764891
24,61,0.8864417350046343,0.06855052690311636,0.9052197035704389,0.0026390919674474577
24,62,0.8864453961472164,0.0683279334229325,0.905221856143706,0.0026395710128486478
24,63,0.8864453945005709,0.06832792890217933,0.9052218540786083,0.0026395700446834804
24,64,0.8864556127469382,0.06809187410905712,0.9052155168319884,0.0026394160136182236
24,65,0.8864556113102141,0.06809187499799238,0.9052155145218754,0.0026394149274739406
24,66,0.8864556128193551,0.06809187404888171,0.9052155169461515,0.0026394160672880444
24,67,0.8864202473368362,0.0685624326088088,0.9052134732254586,0.002638256288277012
13,3,0.8875909832426883,0.05689924617164425,0.9050857462355657,0.0026457292648164963
13,20,0.8874551042560519,0.057570297054207076,0.9050803641245303,0.002639087977709096
13,21,0.8873133653727124,0.0580760543190479,0.9050713225334093,0.002643083669964159
13,22,0.8874174237432737,0.05695601458770181,0.9049440382497854,0.002640807619524976
13,29,0.8873551345723424,0.056666168356910615,0.904899269536656,0.0026453877344294364
13,30,0.8884882626107136,0.049708769278804264,0.9049927994446543,0.0026376067310096038
13,31,0.8883175363523753,0.05469870536908373,0.9052437093160768,0.002641013250605323
13,32,0.8859116217561164,0.07100292757301671,0.905210045085615,0.0026406120136306644
13,33,0.8886111967362531,0.053139314373683626,0.9052652472485728,0.002639301106084996
13,37,0.887464736956393,0.05676466727771413,0.9049967983831952,0.00264576061393661
13,38,0.8875865717054195,0.05581530129499885,0.9050567219513462,0.0026479951598621936
13,39,0.8877285780629882,0.05591453969419035,0.905200623139231,0.002640140671759665
13,40,0.8875620013645914,0.05774767398666093,0.9051587887273573,0.0026445541356056017
13,42,0.8874938152925781,0.05663883619386951,0.9050284359105376,0.0026470096397146928
13,48,0.8855955795469445,0.07276249092550204,0.9051309127437686,0.002647380645782543
13,49,0.8879158024740001,0.05536195520540793,0.9052449889472629,0.0026348325522799637
13,50,0.8879983528395428,0.054965623307429545,0.9053138536503543,0.002637091821030501
13,51,0.885699650358052,0.07243125193106119,0.905143695986998,0.0026477711686621053
13,52,0.8852240262725423,0.07455927280271041,0.905249158750773,0.0026506514640198997
13,53,0.8851619546212502,0.07449953734646378,0.9051709810570205,0.002645632641057459
13,54,0.8855895352035653,0.07276165835650404,0.9051232106938003,0.00264829290655488
13,59,0.8879171859039284,0.05367540148204594,0.9051309030915837,0.0026415777216755223
13,60,0.8860530179009347,0.07138722333979039,0.9052461257136808,0.00264124923353272
13,61,0.8860530182564458,0.0713872159268607,0.9052461341754445,0.0026412532311133287
13,62,0.8860544786212727,0.07125458123769353,0.90525837863794,0.0026413054111264446
13,63,0.8860544786832177,0.07125458095093212,0.9052583786649644,0.002641305423987304
13,64,0.886043262135991,0.07115923302063973,0.9052545705381115,0.002641184662916623
13,65,0.8860432622640447,0.07115923245471227,0.9052545705904258,0.00264118468760774
13,66,0.8860432621295344,0.0711592330492019,0.9052545705354729,0.002641184661676869
13,67,0.886059348811051,0.0713197023881209,0.905256743576275,0.0026410843915907296
13,69,0.8854334872202567,0.07370675862004492,0.9052618576097279,0.0026475786062273017
32,23,0.8852247224112112,0.06599559253765304,0.9051302200694722,0.0026246872717642588
32,24,0.8887377684968578,0.051234278639782665,0.9048830107831439,0.0026046021847571437
32,25,0.88755609840225,0.05560221900844665,0.9049646226944201,0.0025943167621586822
32,26,0.8874299661277623,0.055790440263554626,0.9050186207143334,0.0026525386478710765
32,35,0.8872411895748441,0.05655721862081207,0.9049363772842385,0.0026486991531567044
32,36,0.8870959977610537,0.05725148408164214,0.9050329370565987,0.002652921854499148
32,43,0.8872068120989313,0.05705836611393598,0.9050619209880403,0.002653792933589682
32,44,0.8871614937833272,0.05698420171183433,0.9050267542735381,0.0026520608462119568
32,45,0.8873377523027373,0.05755259863062738,0.9051472687289913,0.002652634038452109
32,46,0.887323448228903,0.05758180795405443,0.9051524912255613,0.0026533540863674225
32,54,0.8872274629647321,0.05763515682751213,0.9050445025405411,0.0026486612169633315
32,57,0.8881326957879854,0.05415564132014956,0.90536773093147,0.002651582326751715
32,58,0.8878904847051964,0.05635902916397817,0.9053732990586576,0.0026507189166909036
32,59,0.8879887973747951,0.055299201941961466,0.9053726865234155,0.0026512535847831383
32,60,0.8878894682672931,0.05556157944009999,0.9053379544799769,0.0026505431945385957
32,61,0.887889647983384,0.05556049316181684,0.9053381276721636,0.002650625101369389
32,62,0.888005633072529,0.055363842456540975,0.9053983670688547,0.002652691225797435
32,63,0.888005633378423,0.05536383832910389,0.9053983659654281,0.002652690721401727
32,64,0.8879616714019104,0.05545827741027703,0.9053610819345788,0.002650471477707202
32,65,0.8879616721533387,0.055458276439976584,0.905361081946883,0.00265047148234106
32,66,0.8879616713612243,0.055458277456542984,0.9053610819337597,0.0026504714773901024
32,67,0.8879250953892138,0.05526713582624862,0.9053541800953888,0.0026557529573288698
32,69,0.8878470925920472,0.055448142319090364,0.9053077085774935,0.0026565407636672225
39,1,0.8877073970472168,0.056929891668327376,0.9051828398738277,0.0026430486497899
39,2,0.887615550296757,0.057060774205816366,0.9051350797694493,0.0026432895060093573
39,3,0.8876157824308001,0.05706074385096042,0.9051356014802229,0.002643536647711362
39,6,0.8876084439741536,0.057232478319323876,0.9051957746804996,0.002646748086349293
39,10,0.8878070041271953,0.057407290960769686,0.9053960235415067,0.002651704815097966
39,13,0.8874371401267708,0.05737864325686742,0.905091326201858,0.0026477748566481646
39,14,0.8874472504138377,0.05743848852452228,0.9051257869377743,0.002650707621077484
39,22,0.8871062482247948,0.05740047970818869,0.9049516375064984,0.0026605348730526454
39,29,0.8870162729798593,0.05728143049576097,0.904861214190523,0.0026554064123401307
39,35,0.8873614646367984,0.057271329728239714,0.9050761580371963,0.0026518060670372356
39,36,0.8879479233876698,0.05635075619973287,0.9053984726494223,0.002651124775384128
39,42,0.8875600035711169,0.05585094222219977,0.9049333512730799,0.0026390237932022763
39,54,0.8878162289206417,0.05380602918407595,0.9050550152619218,0.002643542718160833
39,57,0.8873731209940006,0.057444641241063174,0.9051088615619953,0.0026500375480349356
39,59,0.8877390541380186,0.05368987840424364,0.9050462625465868,0.0026463065243216505
39,60,0.886377173537299,0.06928403288905421,0.9052681625460886,0.002645718979802382
39,61,0.8863772209013181,0.06928390044209644,0.9052684405943763,0.002645850326605721
39,62,0.8860428729337417,0.07117669860128671,0.9053126459328423,0.0026465948454142867
39,63,0.886042873020714,0.0711766976679333,0.9053126452397624,0.0026465945182363995
39,64,0.8860350275765156,0.07109707989302075,0.905310557277625,0.002646346155691555
39,65,0.8860350278345053,0.07109707804666769,0.9053105563226185,0.0026463457046303363
39,66,0.8860350275634927,0.07109707998610149,0.9053105573256417,0.002646346178352989
39,67,0.8864451667983743,0.06922841652854295,0.9052962722324767,0.0026514669173284713
16,10,0.8877412195898688,0.05696257680614636,0.9052190773644855,0.0026415389547288707
16,20,0.8876314663439009,0.05721442015289591,0.9051790108558079,0.0026408348112055956
16,21,0.887552741300838,0.05779588495559405,0.9051947079774867,0.0026239825145888875
33,23,0.8885268013937578,0.05697014322961374,0.9048645878210798,0.002559143114712314
33,24,0.8880282063150423,0.0550818795361742,0.9048026658650561,0.002587842631068885
33,25,0.8869853725894922,0.05666453998240756,0.9050296380550085,0.0026456551356547
33,26,0.8874151707027378,0.05591373740083166,0.9050771953414208,0.002646399673342403
33,35,0.8876175736762716,0.056913490087779954,0.9051189281735493,0.0026450452142451493
33,36,0.8877133306941405,0.05731371752518556,0.9053301509037346,0.0026368664362457633
33,43,0.8877762656831512,0.057125762188281616,0.9053305686091689,0.0026478437307391476
33,44,0.8877788161262697,0.05717682614042073,0.905331669354331,0.002644072199303422
33,45,0.8878637915787205,0.05711226144331012,0.9053414680930063,0.002641974392599469
33,46,0.8878477717532581,0.05708985699397323,0.905359861769254,0.0026449100868061724
33,54,0.8877836953353491,0.056965717311722,0.9053261594400303,0.0026463110908690464
33,57,0.8879470281994075,0.05635430016482373,0.905415145072952,0.002653349303134435
33,58,0.88789128070985,0.05704023702618435,0.905411920101664,0.002652578375286312
33,59,0.8881130928172939,0.0546409354760532,0.9054084314844457,0.0026531825967686796
33,60,0.8881733925168707,0.05407252608614356,0.9054102017729918,0.002653786176883005
33,61,0.8881739211018451,0.05406958461493461,0.9054104691964072,0.0026539119575867097
33,62,0.8881291195869861,0.05459633541124459,0.9054191626605257,0.002653915291115679
33,63,0.8881291197510658,0.05459632280085951,0.9054191585657022,0.002653913369182727
33,64,0.888085638953652,0.054721226584520034,0.9053908092833657,0.0026522857368795737
33,65,0.888085639875539,0.05472121318828974,0.905390804654626,0.0026522835594560536
33,66,0.8880856389086862,0.05472122724181655,0.9053908095137173,0.002652285845248707
