,,Mean,SD,Mean_end,SD_end
9,1,1.0169923962169078,0.876090386902726,0.9046832957359742,0.0001765625125520785
9,2,0.9608498988638283,0.5018924640418236,0.9035346179860324,0.0003352295075641879
9,3,3.2684092943689684,22.539708011682773,0.9054388153106386,0.0003175549198936839
9,4,0.9447573116787671,0.11645084733807082,0.9054276300069253,0.0003277064266270595
9,5,0.9371714532523654,0.16364923948951743,0.9049326685330926,0.00033191444012729235
9,6,0.8871243918631905,0.07019557801617858,0.8988960991289286,0.00034576850241550946
9,7,0.8872645003137105,0.05780844237646614,0.8990106491063312,0.00037662744315641693
9,8,0.8882615762961035,0.07085747281955063,0.9002866936666701,0.0003147681551796113
9,10,0.8941952278733724,0.07400201830055604,0.9108907173225571,0.00026404468152192533
9,11,0.9207055817185009,0.32783861453199625,0.9025954581820913,0.0002190420656803406
9,12,0.8889085350405767,0.04543766162750666,0.8990330867685238,0.00043718308108193165
9,13,0.8888899018416161,0.04545648153891275,0.899035931717429,0.00043819947637139894
9,14,0.9176942434304999,0.24712862687386727,0.9012411209157473,0.00010126238943253253
9,15,0.9415971215403512,0.1214105157441044,0.9090243292627513,0.00039302398536527933
9,16,0.901394166958226,0.08489108203143408,0.9017765915702053,0.0002624510308011947
9,17,0.8861515800129608,0.07334364533220099,0.8975463638499189,0.00027047061907652694
9,18,0.8870421884930186,0.060579620351240024,0.9085073686869418,0.00018707171289373604
9,19,0.8880289269104283,0.07392021962572373,0.9003444362772761,0.0003502360779227657
9,20,0.8918412398975476,0.0863694992714248,0.9126209708952517,0.0019215356795349633
9,21,2.995163275106187,22.330872509781756,0.8992904926031208,0.0011660057652197711
9,22,1.0403493588669608,1.6003690335357634,0.8999116603027376,0.0002846947316374425
9,23,0.9059190408392456,0.2675702291487213,0.9009812138827987,0.0002322367180395096
9,24,0.8937069081855828,0.0714507075394737,0.9014512509184386,0.00014856884283366854
14,1,0.9021737672683494,0.18500673785705596,0.8985997963533057,0.0003846549531961005
14,2,0.8976732109799492,0.16542325837851993,0.8991923096420872,0.00037093039720998095
14,3,0.9050111310727506,0.2066329823039494,0.8985972841204032,0.0003960288802570812
14,4,0.8891371913662399,0.057945823495662005,0.9001778503615959,0.0003090471380429007
14,5,0.8890228464152028,0.05798260768938035,0.9000638623273485,0.0003072732567337746
14,6,0.8917573627607412,0.06643003887894618,0.9000596848619985,0.0003060524361050405
14,7,0.9024753219737797,0.1368510842531271,0.9012359763427098,0.00029605187132829806
14,8,0.9059727281107247,0.1004819295091395,0.9151102408559549,0.002128144607102424
14,9,1.0288318157337302,1.0676540578672156,0.9008265684795757,9.072080655781351e-05
14,10,0.9230826306045669,0.3824539658913225,0.8997021601639402,0.00010201964231242822
14,11,0.9684247535646674,0.21083696801277715,0.9123515122438318,0.0005873208535943186
14,12,0.8907729287566762,0.11835291043938324,0.8983384775389681,0.00037365231500120533
14,13,0.9313607128665162,0.2520760776906704,0.9043815410624944,0.0005690453534941499
14,15,0.8989440220114393,0.168635372397931,0.8994544550930138,0.0003330123633884121
14,16,0.8951471008376555,0.06784978587174853,0.8975232215673886,0.0003252535171731312
14,17,0.9120678193254365,0.2467634601204933,0.9003000927105804,0.0003158962492072869
14,18,0.8988486712068556,0.1034760452598826,0.90037363895521,0.0003979876313911766
14,19,0.8992238700201268,0.1715978307368413,0.899432714764722,0.0003344540842436835
14,20,0.904251852300689,0.2558247405207953,0.9010698635110508,0.0002636563592777088
14,21,0.9113520892166064,0.22942936033220138,0.9007856515006561,0.00020564854075958767
14,22,0.9642253480159858,0.7764117683248702,0.9116754412071558,0.0033418108042155394
14,23,0.8882560217618515,0.07107870831989078,0.9003096885915085,0.00031305215888829024
14,24,0.8882229611254197,0.07097820371971528,0.9001378170714454,0.0003091233610802815
15,1,0.8973774527889576,0.16003190617814197,0.8996605331509724,0.0002271551417110098
15,2,0.8923179822762872,0.10114793820449565,0.9006193759328304,0.0007795946297769372
15,3,0.8963478027061665,0.07179367450885628,0.8998649157263146,0.00028102620659392386
15,4,0.8954429708121079,0.13640509843095552,0.899787640603302,0.00019639001724563527
15,5,0.9692522617690194,0.7991630480723092,0.8894668912583474,0.024069683412353892
15,6,1.0178722556287634,1.2749725798055054,0.9111664858938603,0.0005574647439469002
