iteration,gap,bound satisfied?,bound gap,percentage OD satisfying bound,values of OD not satisfying bound
2,86713.15703230597,False,Bound not satisfied,99.71550497866288,"{('6', '3'): np.float64(9.178022758718594), ('6', '15'): np.float64(4.3944388583797735), ('6', '16'): np.float64(0.2943635028099817), ('6', '24'): np.float64(0.5951937517502223)}"
3,56269.99960807689,True,22048.421103980116,100.0,{}
4,42105.70723279664,True,16394.31876303378,100.0,{}
5,33626.962427973165,True,13048.284548687418,100.0,{}
6,27984.032436016612,True,10834.9635720431,100.0,{}
7,23959.772638213566,True,9262.272550280679,100.0,{}
8,20948.815342326936,True,8087.2812772697725,100.0,{}
9,18609.97670630118,True,7176.1339262910915,100.0,{}
10,16740.74855507299,True,6448.986645216938,100.0,{}
11,15060.81768524557,True,5795.891425615299,100.0,{}
12,13550.298739095228,True,5209.243751723709,100.0,{}
13,12191.160708359825,True,4682.231887893725,100.0,{}
14,10968.306421936535,True,4208.751742935637,100.0,{}
15,9868.11749033902,True,3783.331450685228,100.0,{}
16,8878.646233980171,True,3401.0644178460175,100.0,{}
17,7988.901480908422,True,3057.549785004795,100.0,{}
18,7188.275767633049,True,2748.8394032847928,100.0,{}
19,6467.91166710536,True,2471.3905565211103,100.0,{}
20,5819.907091574396,True,2222.0237637721752,100.0,{}
21,5236.881762418793,True,1997.8850843015477,100.0,{}
22,4712.243557497766,True,1796.4124205394196,100.0,{}
23,4240.1661891916265,True,1615.3053767370693,100.0,{}
24,3815.35258758537,True,1452.4982841848014,100.0,{}
25,3433.0808807920084,True,1306.1360496082552,100.0,{}
26,3089.0913504610257,True,1174.552522967423,100.0,{}
27,2779.578302892943,True,1056.2511153590315,100.0,{}
28,2501.144553974197,True,949.8874278683949,100.0,{}
29,2250.6501772798692,True,854.2536786756326,100.0,{}
30,2025.2451835310414,True,768.2647390189368,100.0,{}
31,1822.4143454634982,True,690.9456091878163,100.0,{}
32,1639.9051288769049,True,621.4201839233957,100.0,{}
33,1475.6683984505414,True,558.9011727415904,100.0,{}
