iteration,gap,bound satisfied?,bound gap,percentage OD satisfying bound,values of OD not satisfying bound
2,9245.085189616779,False,Bound not satisfied,99.20634920634922,"{('8', '24'): np.float64(2.167603662087635), ('9', '16'): np.float64(2.525765791133222), ('9', '19'): np.float64(3.8664019448085885), ('10', '2'): np.float64(0.3998239166087658), ('13', '2'): np.float64(0.000516924976232879), ('14', '2'): np.float64(0.0009118670098743502), ('15', '26'): np.float64(0.13719799809815836), ('21', '23'): np.float64(0.5151936859631614), ('29', '26'): np.float64(0.12143093549527784), ('30', '26'): np.float64(0.19871302787205103)}"
3,6259.479133693835,False,Bound not satisfied,99.52380952380952,"{('5', '36'): np.float64(0.014990532608832985), ('8', '24'): np.float64(0.1838260752324481), ('9', '16'): np.float64(1.5284746218449805), ('11', '25'): np.float64(2.8690229017598297), ('13', '2'): np.float64(0.0005662284818031102), ('14', '2'): np.float64(0.000681328646849638)}"
4,4715.907155395651,False,Bound not satisfied,99.60317460317461,"{('5', '32'): np.float64(1.371191732910009), ('5', '36'): np.float64(0.21183193406814854), ('9', '16'): np.float64(0.6052593578363088), ('13', '2'): np.float64(0.000454192143627288), ('14', '2'): np.float64(0.0004899023888595663)}"
5,3781.9616907705536,False,Bound not satisfied,99.60317460317461,"{('5', '32'): np.float64(2.0053858766332318), ('5', '36'): np.float64(0.1813622220069232), ('9', '16'): np.float64(0.045461002014751895), ('13', '2'): np.float64(0.00033207279447719507), ('14', '2'): np.float64(0.0003524914725025745)}"
6,3160.169290478915,False,Bound not satisfied,99.68253968253968,"{('5', '32'): np.float64(1.5396115797681782), ('5', '36'): np.float64(0.12429836867026245), ('13', '2'): np.float64(0.00023045212058900462), ('14', '2'): np.float64(0.0002547266580772441)}"
7,2718.358487478138,False,Bound not satisfied,99.68253968253968,"{('5', '32'): np.float64(1.1817402543429536), ('5', '36'): np.float64(0.07759975555140108), ('13', '2'): np.float64(0.00015091769306543662), ('14', '2'): np.float64(0.00018395582377197725)}"
8,2387.948268047857,False,Bound not satisfied,99.76190476190476,"{('5', '32'): np.float64(0.9196707398748161), ('5', '36'): np.float64(0.04307503377310251), ('14', '2'): np.float64(0.0001316027929039314)}"
9,2128.960572813037,False,Bound not satisfied,99.84126984126985,"{('5', '32'): np.float64(0.7231213063696549), ('5', '36'): np.float64(0.0178819940014896)}"
10,1920.5599161803566,False,Bound not satisfied,99.92063492063492,"{('5', '32'): np.float64(0.572290507430695)}"
11,1732.1508524349645,False,Bound not satisfied,99.92063492063492,"{('5', '32'): np.float64(0.44230018518622005)}"
