iteration,gap,bound satisfied?,bound gap,percentage OD satisfying bound,values of OD not satisfying bound
2,58089.6914732612,True,31525.15236008849,100.0,{}
3,38339.754225432574,True,20624.54241301352,100.0,{}
4,28688.55493066064,True,15420.194809546849,100.0,{}
5,22922.64685556297,True,12326.653384960862,100.0,{}
6,19086.578312915495,True,10265.700381170815,100.0,{}
7,16349.47524358394,True,8794.71444944176,100.0,{}
8,14298.368181607697,True,7692.164970080553,100.0,{}
9,12704.866368629142,True,6835.06861632814,100.0,{}
10,11431.044668614935,True,6149.6893963980265,100.0,{}
11,10285.094108283307,True,5533.076933803791,100.0,{}
12,9254.08152779811,True,4978.326551084267,100.0,{}
13,8326.473467178203,True,4479.227301466147,100.0,{}
14,7491.925948080252,True,4030.192312511926,100.0,{}
15,6741.059201793149,True,3626.1960711526094,100.0,{}
16,6065.479230338915,True,3262.7179852843183,100.0,{}
17,5457.640189220061,True,2935.6916090326977,100.0,{}
18,4910.737484594659,True,2641.458971621851,100.0,{}
19,4418.7315193310815,True,2376.7295010803787,100.0,{}
20,3976.1519679970506,True,2138.5430824214795,100.0,{}
21,3577.9157832436285,True,1924.2368347957863,100.0,{}
22,3219.569328877639,True,1731.4152332197525,100.0,{}
23,2897.119803273674,True,1557.9232378652202,100.0,{}
24,2606.9678413568604,True,1401.82212773421,100.0,{}
25,2345.8776112680785,True,1261.367766081388,100.0,{}
26,2110.9381946881767,True,1134.9910524559307,100.0,{}
27,1899.5303653773499,True,1021.2803409876897,100.0,{}
28,1709.2965672362652,True,918.9656268010348,100.0,{}
29,1538.1155510589656,True,826.904322448621,100.0,{}
30,1384.078840329306,True,744.0684642403742,100.0,{}
31,1245.4693714126095,True,669.5332045052172,100.0,{}
32,1120.7417360588315,True,602.4664603482853,100.0,{}
33,1008.505605049427,True,542.119602521443,100.0,{}
34,907.5098404528765,True,487.8190797591568,100.0,{}
35,816.6287557527472,True,438.9588844793458,100.0,{}
36,734.8493016017923,True,394.993775230556,100.0,{}
37,661.259856849695,True,355.43317979074203,100.0,{}
38,595.0402305287311,True,319.8357104862666,100.0,{}
39,535.453619125961,True,287.8042301896167,100.0,{}
40,481.83794736149605,True,258.98141364925664,100.0,{}
41,433.5957335702812,True,233.04575437513785,100.0,{}
42,390.18394573848263,True,209.70797231190326,100.0,{}
43,351.11848990530007,True,188.70778203561193,100.0,{}
44,315.9642347118971,True,169.81098525970685,100.0,{}
45,284.32961012441376,True,152.80685507790795,100.0,{}
46,255.86240023787062,True,137.5057826468206,100.0,{}
47,230.24543357000903,True,123.73715995643114,100.0,{}
48,207.19323125513597,True,111.34747498546537,100.0,{}
49,186.44914627956888,True,100.19859792077368,100.0,{}
50,167.78197977624214,True,90.16623926242005,100.0,{}
51,150.98384270457564,True,81.1385625630229,100.0,{}
52,135.86756620368914,True,73.01493628296474,100.0,{}
53,122.26475191700186,True,65.7048108018489,100.0,{}
54,110.02390084748802,True,59.126708028545124,100.0,{}
55,99.00860737158878,True,53.20731231321542,100.0,{}
56,89.09627845485221,True,47.88065249898369,100.0,{}
57,80.17635763596702,True,43.08736597111042,100.0,{}
58,72.1494661180779,True,38.7740364793045,100.0,{}
59,64.92621046637788,True,34.89259833425578,100.0,{}
60,58.42612428037425,True,31.399800322084033,100.0,{}
61,52.57680185526927,True,28.25672334830924,100.0,{}
62,47.31309131193447,True,25.428346423882715,100.0,{}
63,42.57636338593417,True,22.883156146325316,100.0,{}
64,38.31386769711018,True,20.5927953152527,100.0,{}
65,34.47813465095958,True,18.53174675906445,100.0,{}
66,31.026522401931082,True,16.677048843032324,100.0,{}
67,27.92046974303715,True,15.008039483074732,100.0,{}
68,25.125371290096925,True,13.506125807990625,100.0,{}
69,22.610101722402003,True,12.154576899452065,100.0,{}
70,20.346637055640254,True,10.938337296810914,100.0,{}
71,18.309769246812323,True,9.843859185723309,100.0,{}
72,16.47684311906139,True,8.858951398196556,100.0,{}
73,14.8274079636436,True,7.972643539404261,100.0,{}
74,13.34309441585599,True,7.175063725495906,100.0,{}
75,12.00737257041601,True,6.457328568558521,100.0,{}
76,10.805367414432972,True,5.811444181603236,100.0,{}
77,9.723691842850458,True,5.230217099452908,100.0,{}
78,8.750300297207723,True,4.707174122062903,100.0,{}
79,7.874352211852226,True,4.2364901863514435,100.0,{}
80,7.086092607332276,True,3.812923462249578,100.0,{}
81,6.376747568092129,True,3.431756949234197,100.0,{}
82,5.738416303252893,True,3.088745922163246,100.0,{}
83,5.163987952284104,True,2.7800706404545226,100.0,{}
84,4.647065872992862,True,2.5022937933886156,100.0,{}
85,4.181889361208755,True,2.2523222071289677,100.0,{}
86,3.763279226902762,True,2.027372386578319,100.0,{}
87,3.3865733401854174,True,1.8249395079727468,100.0,{}
88,3.0475768551337428,True,1.6427695165804688,100.0,{}
89,2.742515326641643,True,1.4788340185155542,100.0,{}
90,2.4679913251468646,True,1.3313076868133409,100.0,{}
91,2.220948124766406,True,1.1985479299648159,100.0,{}
92,1.9986351443308914,True,1.0790765963166606,100.0,{}
93,1.7985764303050928,True,0.9715635104475878,100.0,{}
94,1.6185436717627,True,0.8748116580683903,100.0,{}
95,1.4565322185203897,True,0.7877438543354908,100.0,{}
96,1.3107381463296877,True,0.7093907470384331,100.0,{}
97,1.1795380075079565,True,0.6388800209851072,100.0,{}
98,1.0614708771715273,True,0.5754266832913714,100.0,{}
99,0.9552222690513177,True,0.5183243213426623,100.0,{}
