,Link to toll,TSTT,Bound on TSTT,Estimaed eqm. TSTT using bounds,Time taken so far
0,"('1', '2')",7850249.9687237535,0,7850249.9687237535,32.17
1,"('1', '3')",7933192.295845854,0,7933192.295845854,63.7
2,"('2', '1')",7849739.840666166,0,7849739.840666166,95.54
3,"('2', '6')",7796944.12879021,0,7796944.12879021,127.12
4,"('3', '1')",7929392.184337801,0,7929392.184337801,158.75
5,"('3', '4')",8229392.693032735,0,8229392.693032735,190.82
6,"('3', '12')",8069382.25692572,0,8069382.25692572,222.66
7,"('4', '3')",8227502.382947297,0,8227502.382947297,254.55
8,"('4', '5')",8382513.996291072,0,8382513.996291072,286.07
9,"('4', '11')",7840684.3690848155,0,7840684.3690848155,317.92
10,"('5', '4')",8388171.971624154,0,8388171.971624154,349.9
11,"('5', '6')",7873837.498099455,0,7873837.498099455,381.73
12,"('5', '9')",8344339.937630644,0,8344339.937630644,414.16
13,"('6', '2')",7795986.232181537,0,7795986.232181537,446.56
14,"('6', '5')",7884125.359464053,0,7884125.359464053,479.08
15,"('6', '8')",8057787.395816004,0,8057787.395816004,511.36
16,"('7', '8')",8252014.6719606,0,8252014.6719606,544.08
17,"('7', '18')",8189866.51562515,0,8189866.51562515,576.91
18,"('8', '6')",8054561.718568456,0,8054561.718568456,609.56
19,"('8', '7')",8243758.030412644,0,8243758.030412644,642.41
20,"('8', '9')",8047538.029719674,0,8047538.029719674,674.65
21,"('8', '16')",7941037.638498688,0,7941037.638498688,706.75
22,"('9', '5')",8350568.476982378,0,8350568.476982378,739.45
23,"('9', '8')",8046367.787560087,0,8046367.787560087,771.75
24,"('9', '10')",8455033.155084074,0,8455033.155084074,803.93
25,"('10', '9')",8462094.638047952,0,8462094.638047952,836.47
26,"('10', '11')",8250991.863376269,0,8250991.863376269,868.21
27,"('10', '15')",8480987.799265074,0,8480987.799265074,900.06
28,"('10', '16')",8015990.6250561215,0,8015990.6250561215,931.59
29,"('10', '17')",8034471.613260203,0,8034471.613260203,963.75
30,"('11', '4')",7840964.255218664,0,7840964.255218664,995.71
31,"('11', '10')",8253591.187308519,0,8253591.187308519,1027.88
32,"('11', '12')",7883014.222744627,0,7883014.222744627,1060.06
33,"('11', '14')",7947283.970719564,0,7947283.970719564,1092.15
34,"('12', '3')",8073358.927126955,0,8073358.927126955,1124.07
35,"('12', '11')",7883025.199028193,0,7883025.199028193,1156.09
36,"('12', '13')",8082095.058244017,0,8082095.058244017,1188.17
37,"('13', '12')",8086909.73682827,0,8086909.73682827,1220.54
38,"('13', '24')",7936998.706981876,0,7936998.706981876,1252.5
39,"('14', '11')",7950762.535455774,0,7950762.535455774,1284.39
40,"('14', '15')",7962610.362553454,0,7962610.362553454,1316.18
41,"('14', '23')",7869326.516175982,0,7869326.516175982,1348.25
42,"('15', '10')",8485810.28336643,0,8485810.28336643,1380.45
43,"('15', '14')",7966599.036256669,0,7966599.036256669,1412.41
44,"('15', '19')",8362113.024991433,0,8362113.024991433,1444.77
45,"('15', '22')",8189172.832244474,0,8189172.832244474,1477.51
46,"('16', '8')",7940776.613852371,0,7940776.613852371,1509.24
47,"('16', '10')",8011998.7082410045,0,8011998.7082410045,1540.88
48,"('16', '17')",7933336.834934478,0,7933336.834934478,1573.77
49,"('16', '18')",8307771.911865217,0,8307771.911865217,1606.3
50,"('17', '10')",8031140.810475467,0,8031140.810475467,1637.75
51,"('17', '16')",7931015.89638725,0,7931015.89638725,1670.97
52,"('17', '19')",7836463.250376742,0,7836463.250376742,1702.68
53,"('18', '7')",8201744.530253383,0,8201744.530253383,1735.25
54,"('18', '16')",8304220.309249768,0,8304220.309249768,1767.68
55,"('18', '20')",8349023.186850385,0,8349023.186850385,1799.64
56,"('19', '15')",8360546.398071318,0,8360546.398071318,1831.52
57,"('19', '17')",7830509.60972437,0,7830509.60972437,1863.15
58,"('19', '20')",7970120.829599965,0,7970120.829599965,1894.85
59,"('20', '18')",8360834.649516218,0,8360834.649516218,1926.55
60,"('20', '19')",7974154.49009038,0,7974154.49009038,1958.33
61,"('20', '21')",7877496.277092441,0,7877496.277092441,1989.58
62,"('20', '22')",7919187.484034152,0,7919187.484034152,2021.03
63,"('21', '20')",7872185.152717475,0,7872185.152717475,2052.63
64,"('21', '22')",7857807.712819442,0,7857807.712819442,2084.0
65,"('21', '24')",8002526.431449125,0,8002526.431449125,2115.1
66,"('22', '15')",8185541.024754721,0,8185541.024754721,2146.79
67,"('22', '20')",7915737.773837768,0,7915737.773837768,2178.14
68,"('22', '21')",7858820.400653759,0,7858820.400653759,2209.73
69,"('22', '23')",7996848.335677682,0,7996848.335677682,2241.18
70,"('23', '14')",7868231.397929662,0,7868231.397929662,2272.56
71,"('23', '22')",7998744.66946603,0,7998744.66946603,2304.21
72,"('23', '24')",7791394.736053202,0,7791394.736053202,2335.65
73,"('24', '13')",7939411.406668323,0,7939411.406668323,2366.98
74,"('24', '21')",7995453.9703321485,0,7995453.9703321485,2398.55
75,"('24', '23')",7788752.581287648,0,7788752.581287648,2429.98
