,Link to toll,TSTT,Bound on TSTT,Estimaed eqm. TSTT using bounds,Time taken so far
0,"('1', '2')",7851026.472104373,75458.13548783083,7926484.607592205,18.5
1,"('1', '3')",7934111.696618699,80379.12219177137,8014490.8188104695,37.13
2,"('2', '1')",7850535.447888589,75398.54297727229,7925933.990865862,56.4
3,"('2', '6')",7797841.028907476,81050.98956570098,7878892.018473177,74.62
4,"('3', '1')",7930326.866169952,80997.72232110698,8011324.588491059,92.86
5,"('3', '4')",8230246.287443821,78049.36936217503,8308295.656805997,112.21
6,"('3', '12')",8070230.220816803,81430.85244711528,8151661.073263918,130.97
7,"('4', '3')",8228375.8882009825,81967.25142816149,8310343.139629144,150.17
8,"('4', '5')",8383364.71204783,74479.29985114752,8457844.011898978,168.83
9,"('4', '11')",7841582.347065695,76665.6605256897,7918248.007591384,187.21
10,"('5', '4')",8389094.389631828,82016.47626799106,8471110.86589982,205.89
11,"('5', '6')",7874644.112248493,80940.77609341564,7955584.888341909,224.34
12,"('5', '9')",8345148.888698525,75705.60377579936,8420854.492474325,243.04
13,"('6', '2')",7796897.576482726,81166.30170346734,7878063.878186193,261.28
14,"('6', '5')",7884927.18463431,80476.02682695421,7965403.211461265,279.87
15,"('6', '8')",8058692.526256601,79709.86048641446,8138402.386743016,298.37
16,"('7', '8')",8252735.837212996,79684.33278005634,8332420.169993052,317.32
17,"('7', '18')",8190535.9269632315,76523.21849743105,8267059.145460662,336.59
18,"('8', '6')",8055382.042393941,74936.95869470431,8130319.001088645,355.6
19,"('8', '7')",8244537.481429375,85082.69679128169,8329620.178220657,374.66
20,"('8', '9')",8048341.734801392,81310.57549006939,8129652.310291462,393.09
21,"('8', '16')",7941856.725327063,77736.01401133838,8019592.739338402,411.63
22,"('9', '5')",8351409.4684572015,78511.19278229162,8429920.661239494,430.24
23,"('9', '8')",8047166.85958345,79589.10726861512,8126755.966852064,448.67
24,"('9', '10')",8456022.319731135,81389.02854846124,8537411.348279595,467.33
25,"('10', '9')",8463079.205307897,81980.71815725716,8545059.923465155,486.04
