iteration,gap,bound_satisfied,percentage OD satisfying bound,values of OD not satisfying bound
2,376344.7314470559,False,93.22916666666666,"{('1', '12'): np.float64(0.0004250806018952194), ('1', '13'): np.float64(0.0010627037034049635), ('3', '4'): np.float64(0.002055959145404666), ('3', '9'): np.float64(0.04638311270395024), ('3', '12'): np.float64(0.003264778859663252), ('3', '13'): np.float64(0.001632389904580755), ('4', '9'): np.float64(0.32463186682597883), ('4', '12'): np.float64(0.7413641694980255), ('4', '13'): np.float64(0.7413643462950837), ('4', '24'): np.float64(2.7077629645935968), ('5', '9'): np.float64(0.036654600285848785), ('5', '10'): np.float64(14.58282783989284), ('5', '12'): np.float64(0.22219317119321869), ('5', '13'): np.float64(0.2221932283311128), ('5', '15'): np.float64(3.832277331645078), ('7', '18'): np.float64(0.04648645559638335), ('9', '3'): np.float64(0.048513407643282436), ('9', '4'): np.float64(0.3798073166202947), ('9', '5'): np.float64(0.042981683222715956), ('9', '15'): np.float64(0.45973918396596414), ('10', '5'): np.float64(17.07652124525505), ('11', '14'): np.float64(0.008764228818476844), ('12', '3'): np.float64(0.0034279339283415657), ('12', '4'): np.float64(0.7843505797684642), ('12', '5'): np.float64(0.24759212224816143), ('13', '3'): np.float64(0.0017139674572776646), ('13', '4'): np.float64(0.7843507647587573), ('13', '5'): np.float64(0.24759218042009895), ('14', '9'): np.float64(31.011192441737712), ('14', '11'): np.float64(0.007094498787664569), ('14', '15'): np.float64(0.008384770307812761), ('14', '19'): np.float64(0.04469097086218386), ('15', '5'): np.float64(4.530742037818968), ('15', '9'): np.float64(0.47741596277502313), ('16', '18'): np.float64(0.2398587092113012), ('18', '7'): np.float64(0.06125220844501757), ('18', '16'): np.float64(0.2653205578197204), ('21', '1'): np.float64(0.7999804104525174), ('24', '4'): np.float64(4.0925838919660436)}"
3,272114.0991005839,False,90.45138888888889,"{('1', '3'): np.float64(0.00025665409556782626), ('1', '12'): np.float64(0.003489911593843091), ('1', '13'): np.float64(0.008724780784532203), ('2', '1'): np.float64(0.0017908636604292106), ('2', '3'): np.float64(0.10408704825806947), ('2', '5'): np.float64(8.812277706181806), ('2', '12'): np.float64(0.10503865094984442), ('2', '13'): np.float64(0.31507692563655015), ('3', '4'): np.float64(0.004096293439003791), ('3', '6'): np.float64(96.221620610364), ('3', '9'): np.float64(0.043331380516132834), ('3', '12'): np.float64(0.0032589906394867806), ('3', '13'): np.float64(0.001629495794507066), ('4', '1'): np.float64(0.011976423181951551), ('4', '3'): np.float64(0.004062736498528413), ('4', '5'): np.float64(0.00026052430824049133), ('4', '9'): np.float64(0.2950434067687718), ('4', '12'): np.float64(0.752109004067983), ('4', '13'): np.float64(0.7521091915420244), ('4', '24'): np.float64(3.5295073569588378), ('5', '2'): np.float64(10.779298962589685), ('5', '4'): np.float64(0.0003588834913790185), ('5', '9'): np.float64(0.014360613245044868), ('5', '10'): np.float64(7.1316121939860695), ('5', '12'): np.float64(0.24046287649147535), ('5', '13'): np.float64(0.2404630002728861), ('5', '15'): np.float64(2.3270339239473623), ('5', '19'): np.float64(0.20159520310348), ('6', '3'): np.float64(135.1400948390969), ('6', '12'): np.float64(90.39992168979106), ('6', '13'): np.float64(90.28779256817073), ('6', '24'): np.float64(7.399306491542269), ('7', '18'): np.float64(0.04514327893158842), ('9', '3'): np.float64(0.007202442701392517), ('9', '4'): np.float64(0.20353886329622464), ('9', '15'): np.float64(0.35395323664096884), ('12', '1'): np.float64(0.0028784648743332584), ('12', '3'): np.float64(0.0034278600371080736), ('12', '4'): np.float64(0.7902913523349108), ('12', '5'): np.float64(0.253359791196986), ('12', '6'): np.float64(65.5257546265633), ('13', '1'): np.float64(0.007196161511760229), ('13', '3'): np.float64(0.0017139305116609196), ('13', '4'): np.float64(0.7902915451582347), ('13', '5'): np.float64(0.25335985573256653), ('13', '6'): np.float64(65.5254764138524), ('14', '12'): np.float64(56.91597055447792), ('16', '18'): np.float64(0.328940332143436), ('17', '1'): np.float64(140.507253607131), ('18', '7'): np.float64(0.05285529623486794), ('18', '16'): np.float64(0.31052864051398055), ('19', '5'): np.float64(25.59950682360764), ('21', '23'): np.float64(61.67034788428785), ('24', '4'): np.float64(3.201788917617842), ('24', '6'): np.float64(30.96669534361763)}"
4,199780.6957827831,False,89.23611111111111,"{('1', '2'): np.float64(0.0016546353731707625), ('1', '3'): np.float64(0.00020001840741487877), ('1', '12'): np.float64(0.003339241334678873), ('1', '13'): np.float64(0.008348104478665698), ('2', '1'): np.float64(0.0015133381244853193), ('2', '3'): np.float64(0.07995645425076987), ('2', '5'): np.float64(5.305017031331065), ('2', '9'): np.float64(3.739646843087062), ('2', '12'): np.float64(0.08089363661746429), ('2', '13'): np.float64(0.24259137172628634), ('2', '20'): np.float64(0.6627164246871757), ('3', '1'): np.float64(0.0002168279407967646), ('3', '2'): np.float64(0.08618172483095995), ('3', '4'): np.float64(0.002795899796022767), ('3', '9'): np.float64(0.012536456693890953), ('3', '12'): np.float64(0.0032141283128961887), ('3', '13'): np.float64(0.0016070646315520867), ('4', '3'): np.float64(0.003289451212335741), ('4', '5'): np.float64(0.00010884093433068663), ('4', '9'): np.float64(0.2135281999728027), ('4', '12'): np.float64(0.7385363214631153), ('4', '13'): np.float64(0.7385365846773658), ('5', '9'): np.float64(0.024086329657286975), ('5', '12'): np.float64(0.2330102564333572), ('5', '13'): np.float64(0.23301040708318285), ('6', '18'): np.float64(0.8467225441118984), ('6', '20'): np.float64(0.2565407789969214), ('7', '18'): np.float64(0.03154486192027143), ('8', '18'): np.float64(0.999970594576638), ('9', '3'): np.float64(0.04881030801688969), ('9', '4'): np.float64(0.3125028132409408), ('9', '5'): np.float64(0.006999828451898511), ('9', '15'): np.float64(0.4343181999300635), ('11', '15'): np.float64(304.7976144877348), ('11', '19'): np.float64(84.16049426262434), ('12', '1'): np.float64(0.002811632807682117), ('12', '2'): np.float64(0.08694516203704103), ('12', '3'): np.float64(0.0025703157993852586), ('12', '4'): np.float64(0.545690285269482), ('12', '5'): np.float64(0.17812394133768636), ('13', '1'): np.float64(0.007029078474456222), ('13', '2'): np.float64(0.260811705160563), ('13', '3'): np.float64(0.0012851585700803852), ('13', '4'): np.float64(0.5456925966299158), ('13', '5'): np.float64(0.17812441477598923), ('14', '11'): np.float64(0.0036394193884576502), ('15', '9'): np.float64(0.22806561414561471), ('15', '11'): np.float64(365.28028229127654), ('16', '18'): np.float64(0.2906108504934049), ('18', '6'): np.float64(4.4143281562858405), ('18', '7'): np.float64(0.043650977199101465), ('18', '8'): np.float64(12.466751474070193), ('18', '16'): np.float64(0.19751619859375985), ('19', '9'): np.float64(0.5992945195523642), ('19', '11'): np.float64(100.69866385942997), ('20', '2'): np.float64(2.827658175488903), ('20', '6'): np.float64(12.425367191713349), ('20', '8'): np.float64(25.43981701244445), ('23', '1'): np.float64(8.509791389062713), ('23', '3'): np.float64(5.262914497130247), ('23', '22'): np.float64(180.8000260439417), ('24', '1'): np.float64(0.0027202717431715935)}"
5,160465.88295914582,False,90.10416666666666,"{('1', '3'): np.float64(0.0003037158198649822), ('1', '4'): np.float64(0.06185557790696723), ('1', '12'): np.float64(0.003051861550464642), ('1', '13'): np.float64(0.007629653306371306), ('2', '1'): np.float64(0.002258462880602412), ('2', '3'): np.float64(0.12180713066260425), ('2', '4'): np.float64(4.422789964541916), ('2', '5'): np.float64(2.36150490620825), ('2', '12'): np.float64(0.12260026562808883), ('2', '13'): np.float64(0.3677815232376963), ('3', '4'): np.float64(0.0045712902857901255), ('3', '5'): np.float64(0.003211722595005965), ('3', '9'): np.float64(0.04310812129086608), ('3', '12'): np.float64(0.0027034433182711814), ('3', '13'): np.float64(0.0013517222346278019), ('4', '1'): np.float64(0.06811304576422411), ('4', '2'): np.float64(15.3462584195818), ('4', '3'): np.float64(0.004173636739844197), ('4', '5'): np.float64(0.00024014726973953243), ('4', '9'): np.float64(0.23868544716170922), ('4', '12'): np.float64(0.6105939382257752), ('4', '13'): np.float64(0.6105977997990368), ('4', '24'): np.float64(1.8928762556339676), ('5', '3'): np.float64(0.006264501863480656), ('5', '4'): np.float64(0.00018680052788381735), ('5', '9'): np.float64(0.02658464436326745), ('5', '12'): np.float64(0.20837576243237588), ('5', '13'): np.float64(0.20837609838210872), ('5', '19'): np.float64(0.5176819114163056), ('7', '18'): np.float64(0.041635923357609406), ('9', '3'): np.float64(0.043125127199756974), ('9', '4'): np.float64(0.2501064932671764), ('9', '5'): np.float64(0.014194836351613397), ('9', '15'): np.float64(0.37148973273902275), ('11', '1'): np.float64(15.253801212551963), ('11', '2'): np.float64(9.706089951287046), ('11', '3'): np.float64(10.493132352671449), ('12', '1'): np.float64(0.002885408196482712), ('12', '3'): np.float64(0.0033288285217140828), ('12', '4'): np.float64(0.7623841754954097), ('12', '5'): np.float64(0.25655892146402076), ('13', '1'): np.float64(0.00721352003171945), ('13', '3'): np.float64(0.0016644147567132423), ('13', '4'): np.float64(0.7623844662213481), ('13', '5'): np.float64(0.2565589890264978), ('14', '11'): np.float64(0.005795984818436156), ('15', '9'): np.float64(0.3546899247249349), ('16', '2'): np.float64(32.16864118246553), ('16', '6'): np.float64(44.960229838159265), ('16', '8'): np.float64(117.0417745565617), ('16', '18'): np.float64(0.4069257463601063), ('17', '8'): np.float64(23.903723271628508), ('18', '7'): np.float64(0.06251788217948817), ('18', '16'): np.float64(0.3391950958082365), ('19', '9'): np.float64(5.967539654724301), ('24', '1'): np.float64(0.012606577433942273), ('24', '4'): np.float64(2.9688845873100034)}"
6,119813.40002704703,False,89.58333333333334,"{('1', '2'): np.float64(0.0014705135600816316), ('1', '3'): np.float64(0.00010799529542112465), ('1', '12'): np.float64(0.002893870822265009), ('1', '13'): np.float64(0.007234675669629171), ('2', '1'): np.float64(0.0008260805462924866), ('2', '3'): np.float64(0.04293526346648044), ('2', '5'): np.float64(7.90306292064181), ('2', '9'): np.float64(10.21633685741989), ('2', '10'): np.float64(5.428904629626103), ('2', '12'): np.float64(0.043774163256178264), ('2', '13'): np.float64(0.13117284628007497), ('3', '1'): np.float64(0.00020760343039096717), ('3', '2'): np.float64(0.08486927951243974), ('3', '4'): np.float64(0.0031440851288553956), ('3', '5'): np.float64(0.0003921584836315724), ('3', '9'): np.float64(0.027590868541783303), ('3', '12'): np.float64(0.0028558273400886305), ('3', '13'): np.float64(0.0014279141945730462), ('4', '1'): np.float64(0.0683982649992718), ('4', '2'): np.float64(4.121480842830028), ('4', '3'): np.float64(0.004061161628284664), ('4', '8'): np.float64(4.445590009469491), ('4', '9'): np.float64(0.16400794228252516), ('4', '12'): np.float64(0.6507378916653209), ('4', '13'): np.float64(0.6507407698513578), ('4', '24'): np.float64(0.9317375319776837), ('5', '2'): np.float64(9.42463680823013), ('5', '3'): np.float64(0.003003711507666267), ('5', '4'): np.float64(0.0002543390938463265), ('5', '8'): np.float64(5.039821655811718), ('5', '9'): np.float64(0.018406701710223992), ('5', '12'): np.float64(0.21809733782995464), ('5', '13'): np.float64(0.21809759789715943), ('5', '19'): np.float64(0.1559811649927063), ('7', '18'): np.float64(0.03502825206097248), ('7', '23'): np.float64(7.187005778048814), ('9', '1'): np.float64(0.07079114935164066), ('9', '3'): np.float64(0.048283456390525656), ('9', '4'): np.float64(0.2752896339635857), ('9', '5'): np.float64(0.017689575826608232), ('9', '15'): np.float64(0.28707200634928615), ('12', '1'): np.float64(0.0028965278134721437), ('12', '2'): np.float64(0.08609279678588833), ('12', '3'): np.float64(0.0025297952039569803), ('12', '4'): np.float64(0.5642256205815869), ('12', '5'): np.float64(0.18683514892317654), ('13', '1'): np.float64(0.007241316654553806), ('13', '2'): np.float64(0.25823898883171414), ('13', '3'): np.float64(0.0012648983205080359), ('13', '4'): np.float64(0.5642333950663879), ('13', '5'): np.float64(0.1868356323334605), ('15', '11'): np.float64(39.41073645336223), ('16', '18'): np.float64(0.24875840149431677), ('18', '7'): np.float64(0.03354980463392958), ('18', '16'): np.float64(0.2840504932859057), ('18', '23'): np.float64(2.8600319412711155), ('19', '11'): np.float64(6.6754154955926595), ('20', '23'): np.float64(15.011484949735546), ('24', '1'): np.float64(0.012951878268354212), ('24', '4'): np.float64(2.4846569525732836)}"
7,101421.69416961617,False,91.49305555555556,"{('1', '2'): np.float64(0.0016596834325621306), ('1', '12'): np.float64(0.0019625033188695688), ('1', '13'): np.float64(0.004906248135248122), ('2', '1'): np.float64(0.00021167736969795146), ('2', '3'): np.float64(0.009376897398444009), ('2', '5'): np.float64(1.687157207085237), ('2', '9'): np.float64(0.2640694779853021), ('2', '12'): np.float64(0.009969357815809404), ('2', '13'): np.float64(0.02969876691006601), ('3', '1'): np.float64(0.0002216737111789937), ('3', '2'): np.float64(0.08849040848431328), ('3', '4'): np.float64(0.002818368352792891), ('3', '9'): np.float64(0.025503415482247944), ('3', '12'): np.float64(0.0019781720757727343), ('3', '13'): np.float64(0.000989087008055645), ('4', '1'): np.float64(0.027890026263206982), ('4', '3'): np.float64(0.0026391243488165985), ('4', '9'): np.float64(0.1488202358067746), ('4', '12'): np.float64(0.42873361189157694), ('4', '13'): np.float64(0.42875332957643586), ('4', '24'): np.float64(1.5991202239089535), ('5', '2'): np.float64(7.769754126384771), ('5', '3'): np.float64(0.0012552475773771193), ('5', '4'): np.float64(0.0001492491014133823), ('5', '9'): np.float64(0.0167770531416197), ('5', '12'): np.float64(0.14308060661827576), ('5', '13'): np.float64(0.1430818312935721), ('5', '19'): np.float64(0.11967164120629903), ('7', '18'): np.float64(0.03030527777663991), ('9', '1'): np.float64(0.03661316186716679), ('9', '3'): np.float64(0.01800782025319836), ('9', '4'): np.float64(0.10220907711359725), ('9', '5'): np.float64(0.010510196326474566), ('9', '15'): np.float64(0.061779810811544655), ('12', '1'): np.float64(0.002636909888572168), ('12', '2'): np.float64(0.08920657296573428), ('12', '3'): np.float64(0.0023872538858853093), ('12', '4'): np.float64(0.5302970887143564), ('12', '5'): np.float64(0.1745928902944634), ('13', '1'): np.float64(0.006592269523941988), ('13', '2'): np.float64(0.2675835232500901), ('13', '3'): np.float64(0.0011936277371718926), ('13', '4'): np.float64(0.5303091312328573), ('13', '5'): np.float64(0.17459352817600443), ('16', '18'): np.float64(0.25441027389776216), ('18', '7'): np.float64(0.03277228974057733), ('18', '16'): np.float64(0.24503794682355437), ('24', '1'): np.float64(0.009383310683202445), ('24', '4'): np.float64(0.719570410892191)}"
8,82677.87308007803,False,91.84027777777779,"{('1', '2'): np.float64(0.0009398435325449902), ('1', '12'): np.float64(0.001915140436634162), ('1', '13'): np.float64(0.004787840377649735), ('2', '1'): np.float64(0.000202903154260148), ('2', '3'): np.float64(0.009197698822502542), ('2', '5'): np.float64(2.3441737978365467), ('2', '9'): np.float64(2.0006914052126312), ('2', '12'): np.float64(0.009775848447444349), ('2', '13'): np.float64(0.029125289789965925), ('3', '1'): np.float64(0.00012380214901644803), ('3', '2'): np.float64(0.049144638979608274), ('3', '4'): np.float64(0.0023277531385233453), ('3', '9'): np.float64(0.017151344468273447), ('3', '12'): np.float64(0.001927971992128218), ('3', '13'): np.float64(0.0009639870052089682), ('4', '1'): np.float64(0.00034624598320874556), ('4', '3'): np.float64(0.0024477085454235694), ('4', '9'): np.float64(0.09703885582491267), ('4', '12'): np.float64(0.421131160336651), ('4', '13'): np.float64(0.4211542745089502), ('4', '24'): np.float64(1.1776672048623036), ('5', '2'): np.float64(3.2022253267950926), ('5', '3'): np.float64(0.0003717486324305713), ('5', '9'): np.float64(0.010749544462609291), ('5', '12'): np.float64(0.1396622265655251), ('5', '13'): np.float64(0.13966353912369056), ('7', '18'): np.float64(0.024394386459606454), ('9', '3'): np.float64(0.026393248921904623), ('9', '4'): np.float64(0.149645583056504), ('9', '5'): np.float64(0.015140606096889487), ('12', '1'): np.float64(0.002082679993986894), ('12', '2'): np.float64(0.04973712467519607), ('12', '3'): np.float64(0.001949785453600135), ('12', '4'): np.float64(0.42521121637540604), ('12', '5'): np.float64(0.1403208982160153), ('13', '1'): np.float64(0.00520668867871435), ('13', '2'): np.float64(0.14911135137633502), ('13', '3'): np.float64(0.0009748938084361205), ('13', '4'): np.float64(0.4252340730373633), ('13', '5'): np.float64(0.14032204064399598), ('14', '11'): np.float64(0.0006016471305713197), ('16', '18'): np.float64(0.20294689025750667), ('18', '7'): np.float64(0.027035041271251753), ('18', '16'): np.float64(0.18921983482341556), ('20', '7'): np.float64(0.0007115133909147697), ('24', '1'): np.float64(0.00839769555043247), ('24', '4'): np.float64(0.582155312438204)}"
9,72519.78526722512,False,93.05555555555556,"{('1', '2'): np.float64(0.000469481194195306), ('1', '12'): np.float64(0.0013860237923363013), ('1', '13'): np.float64(0.003465041741213772), ('3', '2'): np.float64(0.023530277640754577), ('3', '4'): np.float64(0.0017341693735648065), ('3', '9'): np.float64(0.011755568088752992), ('3', '12'): np.float64(0.0014444714834981431), ('3', '13'): np.float64(0.0007222371788293326), ('4', '3'): np.float64(0.0016903089891949562), ('4', '9'): np.float64(0.06745208293998892), ('4', '12'): np.float64(0.3030370041844142), ('4', '13'): np.float64(0.3030774580914825), ('4', '24'): np.float64(0.4707117116863131), ('5', '9'): np.float64(0.007411157138962635), ('5', '12'): np.float64(0.0997230562552443), ('5', '13'): np.float64(0.0997252030703997), ('7', '18'): np.float64(0.019854172851839873), ('8', '4'): np.float64(8.69065682402944), ('8', '5'): np.float64(7.603207481861611), ('9', '3'): np.float64(0.01284300895898003), ('9', '4'): np.float64(0.0720088498444727), ('9', '5'): np.float64(0.008313285100084212), ('12', '1'): np.float64(0.0016157348786932347), ('12', '2'): np.float64(0.024009765433975275), ('12', '3'): np.float64(0.0015592470046337829), ('12', '4'): np.float64(0.3303993726713754), ('12', '5'): np.float64(0.10831193676762638), ('13', '1'): np.float64(0.004039319659194265), ('13', '2'): np.float64(0.07188687216241957), ('13', '3'): np.float64(0.0007796249201549), ('13', '4'): np.float64(0.33043548929273714), ('13', '5'): np.float64(0.10831367866135766), ('16', '18'): np.float64(0.16357307561504675), ('16', '19'): np.float64(13.520251726831866), ('18', '7'): np.float64(0.022385484360381035), ('18', '16'): np.float64(0.14857791919704166), ('20', '7'): np.float64(0.010738017508158657), ('21', '5'): np.float64(11.432572418749059), ('24', '1'): np.float64(0.006594975225057687), ('24', '4'): np.float64(0.3317391603308226)}"
10,64507.74848399681,False,93.57638888888889,"{('1', '2'): np.float64(0.0001422424064788175), ('1', '12'): np.float64(0.0010735200828550255), ('1', '13'): np.float64(0.002683777735492907), ('3', '2'): np.float64(0.005761438218775727), ('3', '4'): np.float64(0.0012659540385062886), ('3', '9'): np.float64(0.006165597438015688), ('3', '12'): np.float64(0.0011594831610055231), ('3', '13'): np.float64(0.0005797433251909594), ('4', '3'): np.float64(0.0012517555239669538), ('4', '9'): np.float64(0.034872890632991066), ('4', '12'): np.float64(0.23588770988748015), ('4', '13'): np.float64(0.23594114734550942), ('4', '24'): np.float64(0.38063988924156034), ('5', '9'): np.float64(0.0036851636152448637), ('5', '12'): np.float64(0.07700676435195497), ('5', '13'): np.float64(0.07700947946211706), ('7', '18'): np.float64(0.015709826479368253), ('9', '3'): np.float64(0.009229065020093158), ('9', '4'): np.float64(0.05175430730938918), ('9', '5'): np.float64(0.006358346683486334), ('12', '1'): np.float64(0.001232889582882246), ('12', '2'): np.float64(0.006144345697278619), ('12', '3'): np.float64(0.0012283715730343572), ('12', '4'): np.float64(0.25196200036761207), ('12', '5'): np.float64(0.08203661712853766), ('13', '1'): np.float64(0.0030822005412195676), ('13', '2'): np.float64(0.018261552244552948), ('13', '3'): np.float64(0.0006141875378571599), ('13', '4'): np.float64(0.25201152134788357), ('13', '5'): np.float64(0.0820389471439715), ('16', '18'): np.float64(0.12286292676410088), ('18', '7'): np.float64(0.017703174665779225), ('18', '16'): np.float64(0.11153044376602084), ('19', '21'): np.float64(15.820022256681959), ('20', '7'): np.float64(0.015513898995593245), ('21', '5'): np.float64(16.641639487199946), ('24', '1'): np.float64(0.0031430648399060554)}"
11,57355.468663588596,False,93.92361111111111,"{('1', '12'): np.float64(0.0007390511242038804), ('1', '13'): np.float64(0.001847599750905187), ('3', '4'): np.float64(0.0008127713427271868), ('3', '9'): np.float64(0.0023817559276033684), ('3', '12'): np.float64(0.0008485383310017987), ('3', '13'): np.float64(0.00042427128467758765), ('4', '3'): np.float64(0.0007884717282169852), ('4', '9'): np.float64(0.013550716587141798), ('4', '12'): np.float64(0.16277086255634976), ('4', '13'): np.float64(0.1628400171003499), ('5', '9'): np.float64(0.0012705656302214596), ('5', '12'): np.float64(0.05236280376351937), ('5', '13'): np.float64(0.0523661999108907), ('5', '21'): np.float64(0.7698474828056305), ('7', '18'): np.float64(0.011793407287869519), ('9', '3'): np.float64(0.0032948055274423585), ('9', '4'): np.float64(0.017558436225359075), ('9', '5'): np.float64(0.0027848576773307696), ('12', '1'): np.float64(0.0008693363874560291), ('12', '3'): np.float64(0.0009077594783295931), ('12', '4'): np.float64(0.17655612042332136), ('12', '5'): np.float64(0.05676514457572546), ('13', '1'): np.float64(0.0021733113895928014), ('13', '3'): np.float64(0.00045388186197763223), ('13', '4'): np.float64(0.17662055155876788), ('13', '5'): np.float64(0.05676811766092987), ('16', '18'): np.float64(0.0836245526981656), ('18', '7'): np.float64(0.013126552821452801), ('18', '16'): np.float64(0.07730726765535095), ('19', '21'): np.float64(23.43087480614185), ('20', '7'): np.float64(0.016666504675899932), ('21', '5'): np.float64(15.032276381019233), ('21', '19'): np.float64(19.707462174797165), ('22', '24'): np.float64(0.35524574891072547), ('24', '1'): np.float64(0.0018102023744705625)}"
