,Link to toll,Norm of optimal link costs,Estimaed eqm. norm using bounds,Time taken so far
0,"('1', '2')",95.15288408517691,95.15288408517691,21.01
1,"('1', '3')",94.41196491349703,94.41196491349703,41.34
2,"('2', '1')",95.15722723546746,95.15722723546746,61.96
3,"('2', '6')",93.63441236150858,93.63441236150858,82.4
4,"('3', '1')",94.45327611969937,94.45327611969937,102.96
5,"('3', '4')",98.74971600274884,98.74971600274884,124.08
6,"('3', '12')",96.28744279206573,96.28744279206573,145.17
7,"('4', '3')",98.74970937807923,98.74970937807923,166.05
8,"('4', '5')",98.59579494391404,98.59579494391404,186.73
9,"('4', '11')",94.41335962520226,94.41335962520226,207.54
10,"('5', '4')",98.63262051341316,98.63262051341316,228.4
11,"('5', '6')",94.77543110083828,94.77543110083828,249.26
12,"('5', '9')",99.10008972582379,99.10008972582379,270.03
13,"('6', '2')",93.62868307918998,93.62868307918998,290.11
14,"('6', '5')",94.81677205860763,94.81677205860763,311.17
15,"('6', '8')",95.31444555528344,95.31444555528344,331.81
16,"('7', '8')",98.53274747228492,98.53274747228492,352.71
17,"('7', '18')",96.40292781748585,96.40292781748585,373.74
18,"('8', '6')",95.28819076270763,95.28819076270763,394.28
19,"('8', '7')",98.48797247356245,98.48797247356245,415.02
20,"('8', '9')",98.2647527688539,98.2647527688539,435.53
21,"('8', '16')",94.89160741198555,94.89160741198555,455.95
22,"('9', '5')",99.20546796327304,99.20546796327304,476.79
23,"('9', '8')",98.25909640327531,98.25909640327531,498.16
24,"('9', '10')",99.77418987933328,99.77418987933328,519.23
25,"('10', '9')",99.8906384529291,99.8906384529291,540.03
26,"('10', '11')",96.85774960016363,96.85774960016363,560.24
27,"('10', '15')",102.4661954551806,102.4661954551806,581.19
28,"('10', '16')",94.71073233593955,94.71073233593955,601.74
29,"('10', '17')",95.85401187132712,95.85401187132712,622.09
30,"('11', '4')",94.32343894725956,94.32343894725956,642.69
31,"('11', '10')",97.04901860043039,97.04901860043039,663.18
32,"('11', '12')",94.17854830312696,94.17854830312696,683.5
33,"('11', '14')",94.15213637646191,94.15213637646191,703.86
34,"('12', '3')",96.34098998120646,96.34098998120646,724.68
35,"('12', '11')",94.29978593667602,94.29978593667602,744.9
36,"('12', '13')",93.608283687946,93.608283687946,765.64
37,"('13', '12')",93.66472823316877,93.66472823316877,786.35
38,"('13', '24')",93.74841083560392,93.74841083560392,807.55
39,"('14', '11')",94.17723066913402,94.17723066913402,827.83
40,"('14', '15')",94.40096931976053,94.40096931976053,848.28
41,"('14', '23')",93.6270017205598,93.6270017205598,868.54
42,"('15', '10')",102.60116629272127,102.60116629272127,889.34
43,"('15', '14')",94.43549646802886,94.43549646802886,909.7
44,"('15', '19')",100.87612545005855,100.87612545005855,930.56
45,"('15', '22')",96.85141832066867,96.85141832066867,951.13
46,"('16', '8')",94.75291870867842,94.75291870867842,971.69
47,"('16', '10')",94.65977960011504,94.65977960011504,992.07
48,"('16', '17')",93.9194057571727,93.9194057571727,1012.53
49,"('16', '18')",96.52019691645565,96.52019691645565,1033.19
50,"('17', '10')",95.84882839504478,95.84882839504478,1053.61
51,"('17', '16')",93.82612778203209,93.82612778203209,1074.2
52,"('17', '19')",93.04098513217949,93.04098513217949,1094.99
53,"('18', '7')",96.50558152078564,96.50558152078564,1115.88
54,"('18', '16')",96.39284107615067,96.39284107615067,1136.55
55,"('18', '20')",95.97719849236145,95.97719849236145,1157.35
56,"('19', '15')",100.96729921581219,100.96729921581219,1177.88
57,"('19', '17')",92.88502365623847,92.88502365623847,1198.48
58,"('19', '20')",95.16876329021237,95.16876329021237,1219.24
59,"('20', '18')",96.030088092583,96.030088092583,1239.81
60,"('20', '19')",95.31140402790332,95.31140402790332,1260.38
61,"('20', '21')",94.79825889295411,94.79825889295411,1281.08
62,"('20', '22')",94.8411554533739,94.8411554533739,1301.7
63,"('21', '20')",94.73388205288002,94.73388205288002,1322.62
64,"('21', '22')",93.7986412997644,93.7986412997644,1343.23
65,"('21', '24')",94.51007887448917,94.51007887448917,1363.64
66,"('22', '15')",96.8508519305316,96.8508519305316,1384.28
67,"('22', '20')",94.78704993083623,94.78704993083623,1404.86
68,"('22', '21')",93.83034046331647,93.83034046331647,1425.43
69,"('22', '23')",94.71685144888514,94.71685144888514,1446.14
70,"('23', '14')",93.6208763175326,93.6208763175326,1466.58
71,"('23', '22')",94.7242438659891,94.7242438659891,1487.42
72,"('23', '24')",92.62245126264222,92.62245126264222,1507.95
73,"('24', '13')",93.81365975691763,93.81365975691763,1528.09
74,"('24', '21')",94.41177131485063,94.41177131485063,1548.62
75,"('24', '23')",92.59720618356694,92.59720618356694,1568.89
