,Link to toll,Norm of optimal link costs,Estimaed eqm. norm using bounds,Time taken so far
0,"('1', '2')",95.15821792892653,95.55034845607446,14.37
1,"('1', '3')",94.41848899008781,94.8401382859867,27.41
2,"('2', '1')",95.1627177998747,95.5545163674578,40.47
3,"('2', '6')",93.64089573053764,94.0638266355781,53.63
4,"('3', '1')",94.4599367978875,94.88475403212827,66.88
5,"('3', '4')",98.75493431987293,99.15943926729256,80.68
6,"('3', '12')",96.2926385326777,96.71742633433162,93.92
7,"('4', '3')",98.75513317608099,99.17997222743433,107.94
8,"('4', '5')",98.6017919333453,98.98871517583872,121.69
9,"('4', '11')",94.41921258223206,94.81791852732448,135.09
10,"('5', '4')",98.63906392669072,99.06493903022084,148.43
11,"('5', '6')",94.7805354607534,95.20317884423912,161.58
12,"('5', '9')",99.10526744572404,99.49710534614616,174.75
13,"('6', '2')",93.63529520785467,94.05889885398534,187.53
14,"('6', '5')",94.82176654863173,95.24173001398023,200.72
15,"('6', '8')",95.32156049408583,95.73775474100196,213.55
16,"('7', '8')",98.53675402998618,98.94664375751017,226.98
17,"('7', '18')",96.40681312079452,96.80580793495015,240.49
18,"('8', '6')",95.29454232742688,95.6858368365432,253.59
19,"('8', '7')",98.49231015347226,98.93005268739392,266.99
20,"('8', '9')",98.26965047725854,98.68710839528869,279.97
21,"('8', '16')",94.89710085150357,95.2995625521702,293.05
22,"('9', '5')",99.21084464434315,99.61707370280807,306.11
23,"('9', '8')",98.2640157521227,98.67271672516411,319.0
24,"('9', '10')",99.78088986451107,100.19886788683903,332.29
25,"('10', '9')",99.89728619915206,100.31818676307137,345.61
26,"('10', '11')",96.86388764414575,97.27687474420891,358.58
27,"('10', '15')",102.47149589865138,102.88173383092096,372.05
28,"('10', '16')",94.71764139114804,95.14038705309855,384.79
29,"('10', '17')",95.85973897021589,96.28452361666046,397.71
30,"('11', '4')",94.32979618136531,94.7536550752384,410.5
31,"('11', '10')",97.05530518938208,97.47649516703044,423.28
32,"('11', '12')",94.18460244545132,94.57939768603023,436.52
33,"('11', '14')",94.15815657058388,94.55158110441968,449.49
34,"('12', '3')",96.34603519815572,96.74335102828536,463.05
35,"('12', '11')",94.30637046284035,94.72672479333347,475.87
36,"('12', '13')",93.61346757590266,94.00214217816082,489.02
37,"('13', '12')",93.67010700056325,94.06167254534422,502.27
38,"('13', '24')",93.75537656916593,94.14889826921254,515.32
39,"('14', '11')",94.18367157791192,94.60852032064476,528.21
40,"('14', '15')",94.40651217030391,94.82377343995671,541.25
41,"('14', '23')",93.6339713086874,94.06150417604503,553.96
42,"('15', '10')",102.6064175419534,103.00955847709496,567.51
43,"('15', '14')",94.4408783183266,94.84007604829027,580.44
44,"('15', '19')",100.88028893293911,101.29603971369717,593.87
45,"('15', '22')",96.85819087597116,97.28587042769085,606.9
46,"('16', '8')",94.75868135860124,95.1753659544321,620.09
47,"('16', '10')",94.66616977816187,95.07598148271245,633.13
48,"('16', '17')",93.92610620369767,94.33908201634061,647.0
49,"('16', '18')",96.52433214280178,96.91905025169672,660.29
50,"('17', '10')",95.85422073638028,96.25519122170414,673.4
51,"('17', '16')",93.83318336624723,94.24665364933118,686.52
52,"('17', '19')",93.046102497274,93.43783883647029,699.89
53,"('18', '7')",96.50951715135773,96.91192883995404,713.31
54,"('18', '16')",96.39702994730031,96.80229126055873,726.47
55,"('18', '20')",95.98118827717477,96.37953217389807,739.8
56,"('19', '15')",100.97123669233618,101.36337403469939,752.78
57,"('19', '17')",92.89036574825643,93.28758664170927,766.01
58,"('19', '20')",95.17497915608142,95.60374921476085,778.98
59,"('20', '18')",96.03398226816864,96.43477488067275,792.17
60,"('20', '19')",95.3170367018697,95.71110378352103,805.45
61,"('20', '21')",94.80426042823419,95.20260955880148,818.41
62,"('20', '22')",94.84732279440456,95.25376785530484,831.51
63,"('21', '20')",94.73984981629562,95.15075996225545,844.58
64,"('21', '22')",93.80481774377016,94.21014762693726,857.53
65,"('21', '24')",94.51618332149226,94.92747427021865,870.6
66,"('22', '15')",96.85762232075298,97.28282221211407,883.65
67,"('22', '20')",94.79321917638414,95.20575860647234,896.6
68,"('22', '21')",93.8364774679545,94.24997774823342,909.85
69,"('22', '23')",94.7227246600338,95.12739265282198,923.06
70,"('23', '14')",93.62732002047406,94.02673747169615,936.32
71,"('23', '22')",94.73022527785092,95.1468463034436,949.35
72,"('23', '24')",92.62958809167931,93.05330480970812,962.51
73,"('24', '13')",93.82060953528777,94.20930788065856,975.72
74,"('24', '21')",94.41779825047507,94.83549157563502,988.85
75,"('24', '23')",92.60403062935436,93.0061353261853,1001.87
