origin	dest	capacity	length	fft	alpha	beta	speedLimit
1	117	9000	5280	1.090458488	0.15	4	4842
2	87	9000	5280	1.090458488	0.15	4	4842
3	74	9000	5280	1.090458488	0.15	4	4842
4	233	9000	5280	1.090458488	0.15	4	4842
5	165	9000	5280	1.090458488	0.15	4	4842
6	213	9000	5280	1.090458488	0.15	4	4842
7	253	9000	5280	1.090458488	0.15	4	4842
8	411	5400	2640	1	0.15	4	2640
9	379	5400	2640	1	0.15	4	2640
9	395	5400	2640	1	0.15	4	2640
10	338	5400	2640	1	0.15	4	2640
10	362	5400	2640	1	0.15	4	2640
11	309	5400	2640	1	0.15	4	2640
12	275	5400	2640	1	0.15	4	2640
13	262	5400	2640	1	0.15	4	2640
14	257	5400	2640	1	0.15	4	2640
15	254	5400	2640	1	0.15	4	2640
16	263	5400	2640	1	0.15	4	2640
17	276	5400	2640	1	0.15	4	2640
18	322	5400	2640	1	0.15	4	2640
18	348	5400	2640	1	0.15	4	2640
19	364	5400	2640	1	0.15	4	2640
19	380	5400	2640	1	0.15	4	2640
20	397	5400	2640	1	0.15	4	2640
21	412	5400	2640	1	0.15	4	2640
21	413	5400	2640	1	0.15	4	2640
22	414	5400	2640	1	0.15	4	2640
22	415	5400	2640	1	0.15	4	2640
23	416	5400	2640	1	0.15	4	2640
24	266	12600	1320	0.149068323	0.15	4	8855
24	267	12600	1320	0.149068323	0.15	4	8855
25	268	12600	1320	0.149068323	0.15	4	8855
25	269	12600	1320	0.149068323	0.15	4	8855
26	273	12600	1320	0.149068323	0.15	4	8855
26	274	12600	1320	0.149068323	0.15	4	8855
27	302	12600	1320	0.149068323	0.15	4	8855
27	303	12600	1320	0.149068323	0.15	4	8855
28	303	12600	1320	0.149068323	0.15	4	8855
28	304	12600	1320	0.149068323	0.15	4	8855
29	308	12600	1320	0.149068323	0.15	4	8855
29	337	12600	1320	0.149068323	0.15	4	8855
30	340	12600	1320	0.149068323	0.15	4	8855
30	341	12600	1320	0.149068323	0.15	4	8855
31	329	12600	1320	0.149068323	0.15	4	8855
31	330	12600	1320	0.149068323	0.15	4	8855
32	332	12600	1320	0.149068323	0.15	4	8855
32	333	12600	1320	0.149068323	0.15	4	8855
33	337	12600	1320	0.149068323	0.15	4	8855
33	361	12600	1320	0.149068323	0.15	4	8855
34	369	12600	1320	0.149068323	0.15	4	8855
34	385	12600	1320	0.149068323	0.15	4	8855
35	373	12600	1320	0.149068323	0.15	4	8855
35	389	12600	1320	0.149068323	0.15	4	8855
36	378	12600	1320	0.149068323	0.15	4	8855
36	394	12600	1320	0.149068323	0.15	4	8855
37	401	12600	1320	0.149068323	0.15	4	8855
37	402	12600	1320	0.149068323	0.15	4	8855
38	406	12600	1320	0.149068323	0.15	4	8855
38	407	12600	1320	0.149068323	0.15	4	8855
39	266	5400	3854	1.459848485	0.15	4	2640
39	267	5400	3854	1.459848485	0.15	4	2640
40	268	5400	3485	1.320075758	0.15	4	2640
40	269	5400	3485	1.320075758	0.15	4	2640
41	273	5400	2640	1	0.15	4	2640
41	274	5400	2640	1	0.15	4	2640
42	302	5400	2640	1	0.15	4	2640
42	303	5400	2640	1	0.15	4	2640
