origin	dest	capacity	length	fft	alpha	beta	speedLimit
1	303	999999.0000000000	0.0000000000	0.0000000000	0.0000000000	4.000000	0.000000
1	304	999999.0000000000	0.0000000000	0.0000000000	0.0000000000	4.000000	0.000000
1	306	999999.0000000000	0.0000000000	0.0000000000	0.0000000000	4.000000	0.000000
1	307	999999.0000000000	0.0000000000	0.0000000000	0.0000000000	4.000000	0.000000
2	253	999999.0000000000	0.0000000000	0.0000000000	0.0000000000	4.000000	0.000000
2	255	999999.0000000000	0.0000000000	0.0000000000	0.0000000000	4.000000	0.000000
2	256	999999.0000000000	0.0000000000	0.0000000000	0.0000000000	4.000000	0.000000
2	272	999999.0000000000	0.0000000000	0.0000000000	0.0000000000	4.000000	0.000000
3	258	999999.0000000000	0.0000000000	0.0000000000	0.0000000000	4.000000	0.000000
3	259	999999.0000000000	0.0000000000	0.0000000000	0.0000000000	4.000000	0.000000
3	260	999999.0000000000	0.0000000000	0.0000000000	0.0000000000	4.000000	0.000000
3	261	999999.0000000000	0.0000000000	0.0000000000	0.0000000000	4.000000	0.000000
4	226	999999.0000000000	0.0000000000	0.0000000000	0.0000000000	4.000000	0.000000
4	231	999999.0000000000	0.0000000000	0.0000000000	0.0000000000	4.000000	0.000000
4	232	999999.0000000000	0.0000000000	0.0000000000	0.0000000000	4.000000	0.000000
4	263	999999.0000000000	0.0000000000	0.0000000000	0.0000000000	4.000000	0.000000
5	254	999999.0000000000	0.0000000000	0.0000000000	0.0000000000	4.000000	0.000000
5	255	999999.0000000000	0.0000000000	0.0000000000	0.0000000000	4.000000	0.000000
5	352	999999.0000000000	0.0000000000	0.0000000000	0.0000000000	4.000000	0.000000
5	353	999999.0000000000	0.0000000000	0.0000000000	0.0000000000	4.000000	0.000000
6	196	999999.0000000000	0.0000000000	0.0000000000	0.0000000000	4.000000	0.000000
6	223	999999.0000000000	0.0000000000	0.0000000000	0.0000000000	4.000000	0.000000
