origin	dest	capacity	length	fft	alpha	beta	speedLimit
1	547	49500	0.86267	0	0.15	4	0
2	548	49500	0.86267	0	0.15	4	0
3	549	49500	0.86267	0	0.15	4	0
4	550	49500	0.86267	0	0.15	4	0
5	551	49500	0.86267	0	0.15	4	0
6	552	49500	0.86267	0	0.15	4	0
7	553	49500	0.86267	0	0.15	4	0
8	554	49500	0.86267	0	0.15	4	0
9	555	49500	0.86267	0	0.15	4	0
10	556	49500	0.86267	0	0.15	4	0
11	557	49500	0.86267	0	0.15	4	0
12	558	49500	0.86267	0	0.15	4	0
13	559	49500	0.86267	0	0.15	4	0
14	560	49500	0.86267	0	0.15	4	0
15	561	49500	0.86267	0	0.15	4	0
16	562	49500	0.86267	0	0.15	4	0
17	563	49500	0.86267	0	0.15	4	0
18	564	49500	0.86267	0	0.15	4	0
19	565	49500	0.86267	0	0.15	4	0
20	566	49500	0.86267	0	0.15	4	0
21	567	49500	0.86267	0	0.15	4	0
22	568	49500	0.86267	0	0.15	4	0
23	569	49500	0.86267	0	0.15	4	0
24	570	49500	0.86267	0	0.15	4	0
25	571	49500	0.86267	0	0.15	4	0
26	572	49500	0.86267	0	0.15	4	0
27	573	49500	0.86267	0	0.15	4	0
28	574	49500	0.86267	0	0.15	4	0
29	575	49500	0.86267	0	0.15	4	0
30	576	49500	0.86267	0	0.15	4	0
31	577	49500	0.86267	0	0.15	4	0
32	578	49500	0.86267	0	0.15	4	0
33	579	49500	0.86267	0	0.15	4	0
34	580	49500	0.86267	0	0.15	4	0
35	581	49500	0.86267	0	0.15	4	0
36	582	49500	0.86267	0	0.15	4	0
37	583	49500	0.86267	0	0.15	4	0
38	584	49500	0.86267	0	0.15	4	0
39	585	49500	0.86267	0	0.15	4	0
40	586	49500	0.86267	0	0.15	4	0
41	587	49500	0.86267	0	0.15	4	0
42	588	49500	0.86267	0	0.15	4	0
43	589	49500	0.86267	0	0.15	4	0
44	590	49500	0.86267	0	0.15	4	0
45	591	49500	0.86267	0	0.15	4	0
46	592	49500	0.86267	0	0.15	4	0
47	593	49500	0.86267	0	0.15	4	0
48	594	49500	0.86267	0	0.15	4	0
49	595	49500	0.86267	0	0.15	4	0
50	596	49500	0.86267	0	0.15	4	0
51	597	49500	0.86267	0	0.15	4	0
52	598	49500	0.86267	0	0.15	4	0
53	599	49500	0.86267	0	0.15	4	0
54	600	49500	0.86267	0	0.15	4	0
55	601	49500	0.86267	0	0.15	4	0
56	602	49500	0.86267	0	0.15	4	0
57	603	49500	0.86267	0	0.15	4	0
58	604	49500	0.86267	0	0.15	4	0
59	605	49500	0.86267	0	0.15	4	0
60	606	49500	0.86267	0	0.15	4	0
61	607	49500	0.86267	0	0.15	4	0
62	608	49500	0.86267	0	0.15	4	0
63	609	49500	0.86267	0	0.15	4	0
64	610	49500	0.86267	0	0.15	4	0
65	611	49500	0.86267	0	0.15	4	0
66	612	49500	0.86267	0	0.15	4	0
67	613	49500	0.86267	0	0.15	4	0
68	614	49500	0.86267	0	0.15	4	0
69	615	49500	0.86267	0	0.15	4	0
70	616	49500	0.86267	0	0.15	4	0
71	617	49500	0.86267	0	0.15	4	0
72	618	49500	0.86267	0	0.15	4	0
73	619	49500	0.86267	0	0.15	4	0
74	620	49500	0.86267	0	0.15	4	0
75	621	49500	0.86267	0	0.15	4	0
76	622	49500	0.86267	0	0.15	4	0
77	623	49500	0.86267	0	0.15	4	0
78	624	49500	0.86267	0	0.15	4	0
79	625	49500	0.86267	0	0.15	4	0
80	626	49500	0.86267	0	0.15	4	0
81	627	49500	0.86267	0	0.15	4	0
82	628	49500	0.86267	0	0.15	4	0
83	629	49500	0.86267	0	0.15	4	0
84	630	49500	0.86267	0	0.15	4	0
85	631	49500	0.86267	0	0.15	4	0
86	632	49500	0.86267	0	0.15	4	0
87	633	49500	0.86267	0	0.15	4	0
88	634	49500	0.86267	0	0.15	4	0
89	635	49500	0.86267	0	0.15	4	0
90	636	49500	0.86267	0	0.15	4	0
91	637	49500	0.86267	0	0.15	4	0
92	638	49500	0.86267	0	0.15	4	0
93	639	49500	0.86267	0	0.15	4	0
94	640	49500	0.86267	0	0.15	4	0
95	641	49500	0.86267	0	0.15	4	0
96	642	49500	0.86267	0	0.15	4	0
97	643	49500	0.86267	0	0.15	4	0
98	644	49500	0.86267	0	0.15	4	0
99	645	49500	0.86267	0	0.15	4	0
100	646	49500	0.86267	0	0.15	4	0
101	647	49500	0.86267	0	0.15	4	0
102	648	49500	0.86267	0	0.15	4	0
103	649	49500	0.86267	0	0.15	4	0
104	650	49500	0.86267	0	0.15	4	0
105	651	49500	0.86267	0	0.15	4	0
106	652	49500	0.86267	0	0.15	4	0
107	653	49500	0.86267	0	0.15	4	0
108	654	49500	0.86267	0	0.15	4	0
109	655	49500	0.86267	0	0.15	4	0
110	656	49500	0.86267	0	0.15	4	0
111	657	49500	0.86267	0	0.15	4	0
112	658	49500	0.86267	0	0.15	4	0
113	659	49500	0.86267	0	0.15	4	0
114	660	49500	0.86267	0	0.15	4	0
115	661	49500	0.86267	0	0.15	4	0
116	662	49500	0.86267	0	0.15	4	0
117	663	49500	0.86267	0	0.15	4	0
118	664	49500	0.86267	0	0.15	4	0
119	665	49500	0.86267	0	0.15	4	0
120	666	49500	0.86267	0	0.15	4	0
121	667	49500	0.86267	0	0.15	4	0
122	668	49500	0.86267	0	0.15	4	0
123	669	49500	0.86267	0	0.15	4	0
124	670	49500	0.86267	0	0.15	4	0
125	671	49500	0.86267	0	0.15	4	0
126	672	49500	0.86267	0	0.15	4	0
127	673	49500	0.86267	0	0.15	4	0
128	674	49500	0.86267	0	0.15	4	0
129	675	49500	0.86267	0	0.15	4	0
130	676	49500	0.86267	0	0.15	4	0
131	677	49500	0.86267	0	0.15	4	0
